Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2017-10-31,33.98,34.24,33.96,34.15,13935120.0,0.0,1.0,32.50948739975863,32.75823568474796,32.49035291629792,32.67213050917473,13935120.0
2017-10-30,34.32,34.38,33.8244,34.04,18345087.0,0.0,1.0,32.83477361859083,32.892177068972984,32.36062111843425,32.56689085014079,18345087.0
2017-10-27,34.15,34.62,34.09,34.43,20356597.0,0.0,1.0,32.67213050917473,33.121790870501584,32.61472705879258,32.94001327762477,20356597.0
2017-10-26,34.41,34.51,34.07,34.27,14616103.0,0.0,1.0,32.920878794164054,33.01655121146764,32.595592575331864,32.786937409939036,14616103.0
2017-10-25,34.73,34.73,34.163,34.3,17400891.0,0.0,1.0,33.22703052953553,33.22703052953553,32.6845679234242,32.81563913513011,17400891.0
2017-10-24,34.4,34.675,34.25,34.58,16280155.0,0.0,1.0,32.911311552433695,33.174410700018555,32.76780292647832,33.08352190358015,16280155.0
2017-10-23,34.45,34.68,34.27,34.35,22631966.0,0.0,1.0,32.9591477610855,33.17919432088374,32.786937409939036,32.86347534378191,22631966.0
2017-10-20,34.02,34.39,34.01,34.25,24361352.0,0.0,1.0,32.547756366680076,32.90174431070334,32.53818912494971,32.76780292647832,24361352.0
2017-10-19,33.51,33.89,33.45,33.75,13203111.0,0.0,1.0,32.05982703843178,32.42338222418541,32.00242358804963,32.289440839960385,13203111.0
2017-10-18,33.72,33.75,33.44,33.55,9971246.0,0.0,1.0,32.26073911476931,32.289440839960385,31.992856346319268,32.09809600535321,9971246.0
2017-10-17,33.59,33.67,33.46,33.6,9303117.0,0.0,1.0,32.136364972274656,32.21290290611752,32.01199082977999,32.14593221400501,9303117.0
2017-10-16,33.6,33.64,33.47,33.54,10509057.0,0.0,1.0,32.14593221400501,32.18420118092644,32.02155807151034,32.088528763622854,10509057.0
2017-10-13,33.4,33.57,33.323,33.47,13578818.0,0.0,1.0,31.954587379397832,32.11723048881393,31.880919618074074,32.02155807151034,13578818.0
2017-10-12,33.26,33.46,33.17,33.26,17905601.0,0.0,1.0,31.82064599517281,32.01199082977999,31.734540819599587,31.82064599517281,17905601.0
2017-10-11,33.38,33.63,33.25,33.59,12561374.0,0.0,1.0,31.93545289593712,32.174633939196084,31.811078753442455,32.136364972274656,12561374.0
2017-10-10,33.88,33.91,33.47,33.55,18011029.0,0.0,1.0,32.41381498245505,32.44251670764612,32.02155807151034,32.09809600535321,18011029.0
2017-10-09,33.77,33.89,33.61,33.76,8728444.0,0.0,1.0,32.30857532342111,32.42338222418541,32.15549945573537,32.299008081690744,8728444.0
2017-10-06,33.65,33.78,33.5247,33.75,15464652.0,0.0,1.0,32.1937684226568,32.31814256515146,32.07389088377541,32.289440839960385,15464652.0
2017-10-05,33.58,33.67,33.41,33.59,14524809.0,0.0,1.0,32.12679773054429,32.21290290611752,31.96415462112819,32.136364972274656,14524809.0
2017-10-04,33.53,33.56,33.29,33.44,14652192.0,0.29,1.0,32.078961521892495,32.10766324708357,31.849347720363888,31.992856346319268,14652192.0
2017-10-03,33.72,33.9,33.61,33.85,13346858.0,0.0,1.0,31.98337136074372,32.154101101103564,31.879036519412708,32.10667617322583,13346858.0
2017-10-02,33.61,33.77,33.52,33.75,16555183.0,0.0,1.0,31.879036519412708,32.03079628862146,31.793671649232788,32.01182631747036,16555183.0
2017-09-29,33.31,33.67,33.24,33.63,14802671.0,0.0,1.0,31.594486952146305,31.93594643286599,31.52809205311748,31.8980064905638,14802671.0
2017-09-28,33.22,33.46,33.22,33.35,15496862.0,0.0,1.0,31.50912208196638,31.736761735779506,31.50912208196638,31.632426894448493,15496862.0
2017-09-27,33.78,33.92,33.3037,33.48,22594626.0,0.0,1.0,32.040281274197,32.17307107225466,31.588511411233707,31.755731706930597,22594626.0
2017-09-26,33.76,34.1,33.67,33.76,26138300.0,0.0,1.0,32.021311303045906,32.3438008126145,31.93594643286599,32.021311303045906,26138300.0
2017-09-25,33.31,33.84,33.2,33.72,32396906.0,0.0,1.0,31.594486952146305,32.09719118765029,31.49015211081529,31.98337136074372,32396906.0
2017-09-22,32.66,33.53,32.64,33.37,28234858.0,0.0,1.0,30.97796288973576,31.803156634808335,30.95899291858467,31.651396865599583,28234858.0
2017-09-21,32.72,32.9,32.5,32.7,19870012.0,0.0,1.0,31.034872803189042,31.205602543548885,30.826203120527015,31.015902832037952,19870012.0
2017-09-20,32.55,32.75,32.39,32.6,19865366.0,0.0,1.0,30.873628048404747,31.063327759915683,30.721868279196002,30.921052976282486,19865366.0
2017-09-19,32.46,32.65,32.395,32.49,12927654.0,0.0,1.0,30.788263178224827,30.968477904160213,30.726610771983776,30.81671813495147,12927654.0
2017-09-18,32.43,32.66,32.26,32.52,17290893.0,0.0,1.0,30.759808221498186,30.97796288973576,30.59856346671389,30.845173091678113,17290893.0
2017-09-15,32.2,32.5,32.12,32.44,29336087.0,0.0,1.0,30.541653553260613,30.826203120527015,30.465773668656237,30.769293207073733,29336087.0
2017-09-14,31.91,32.22,31.91,32.19,18194803.0,0.0,1.0,30.266588971569757,30.560623524411703,30.266588971569757,30.532168567685062,18194803.0
2017-09-13,32.34,32.39,31.96,32.18,22705140.0,0.0,1.0,30.67444335131827,30.721868279196002,30.314013899447488,30.52268358210952,22705140.0
2017-09-12,32.3,32.47,32.19,32.41,18923132.0,0.0,1.0,30.636503409016075,30.797748163800374,30.532168567685062,30.74083825034709,18923132.0
2017-09-11,31.71,32.3,31.67,32.19,22440819.0,0.0,1.0,30.07688926005882,30.636503409016075,30.038949317756636,30.532168567685062,22440819.0
2017-09-08,31.68,31.78,31.46,31.48,15339455.0,0.0,1.0,30.04843430333218,30.14328415908765,29.839764620670152,29.858734591821243,15339455.0
2017-09-07,31.96,31.97,31.74,31.76,14751706.0,0.0,1.0,30.314013899447488,30.323498885023035,30.105344216785458,30.124314187936555,14751706.0
2017-09-06,31.75,31.91,31.63,31.87,16962308.0,0.0,1.0,30.11482920236101,30.266588971569757,30.001009375454444,30.22864902926757,16962308.0
2017-09-05,32.15,32.245,31.455,31.62,32650934.0,0.0,1.0,30.494228625382878,30.58433598835057,29.835022127882375,29.9915243898789,32650934.0
2017-09-01,32.22,32.345,32.03,32.3,14686578.0,0.0,1.0,30.560623524411703,30.679185844106037,30.380408798476317,30.636503409016075,14686578.0
2017-08-31,32.1,32.34,31.99,32.21,27800153.0,0.0,1.0,30.446803697505146,30.67444335131827,30.34246885617413,30.55113853883616,27800153.0
2017-08-30,31.47,32.2,31.42,31.99,22988730.0,0.0,1.0,29.849249606245696,30.541653553260613,29.801824678367964,30.34246885617413,22988730.0
2017-08-29,31.26,31.6299,31.19,31.48,16362658.0,0.0,1.0,29.650064909159216,30.000914525598688,29.58367001013039,29.858734591821243,16362658.0
2017-08-28,31.6,31.66,31.41,31.54,12958921.0,0.0,1.0,29.972554418727807,30.029464332181085,29.792339692792417,29.915644505274525,12958921.0
2017-08-25,31.39,31.8,31.36,31.44,19558253.0,0.0,1.0,29.773369721641323,30.16225413023874,29.744914764914682,29.82079464951906,19558253.0
2017-08-24,30.95,31.4,30.9,31.24,22576090.0,0.0,1.0,29.356030356317266,29.782854707216867,29.30860542843953,29.63109493800812,22576090.0
2017-08-23,31.21,31.4,30.91,30.92,22436582.0,0.0,1.0,29.60263998128148,29.782854707216867,29.318090414015078,29.327575399590625,22436582.0
2017-08-22,30.85,31.33,30.75,31.27,24747246.0,0.0,1.0,29.2611805005618,29.71645980818804,29.16633064480633,29.659549894734763,24747246.0
2017-08-21,30.37,30.795,30.36,30.68,24198403.0,0.0,1.0,28.805901192935554,29.20901307989629,28.796416207360004,29.0999357457775,24198403.0
2017-08-18,31.0,31.06,30.36,30.37,34802193.0,0.0,1.0,29.403455284194997,29.46036519764828,28.796416207360004,28.805901192935554,34802193.0
2017-08-17,31.49,31.77,30.85,31.04,53288773.0,0.0,1.0,29.86821957739679,30.1337991735121,29.2611805005618,29.441395226497185,53288773.0
2017-08-16,32.1,32.4652,32.06,32.34,29051966.0,0.0,1.0,30.446803697505146,30.793195370724114,30.408863755202958,30.67444335131827,29051966.0
2017-08-15,31.85,32.21,31.84,32.09,25251460.0,0.0,1.0,30.209679058116475,30.55113853883616,30.200194072540928,30.4373187119296,25251460.0
2017-08-14,31.69,31.89,31.56,31.84,21761643.0,0.0,1.0,30.057919288907726,30.247619000418663,29.934614476425615,30.200194072540928,21761643.0
2017-08-11,31.23,31.545,31.04,31.47,20756566.0,0.0,1.0,29.621609952432575,29.9203869980623,29.441395226497185,29.849249606245696,20756566.0
2017-08-10,31.56,31.56,31.0,31.0,23517356.0,0.0,1.0,29.934614476425615,29.934614476425615,29.403455284194997,29.403455284194997,23517356.0
2017-08-09,31.55,31.675,31.36,31.62,16131324.0,0.0,1.0,29.925129490850072,30.043691810544406,29.744914764914682,29.9915243898789,16131324.0
2017-08-08,31.75,32.0,31.6,31.67,15375678.0,0.0,1.0,30.11482920236101,30.351953841749676,29.972554418727807,30.038949317756636,15375678.0
2017-08-07,31.79,31.8799,31.69,31.84,11877405.0,0.0,1.0,30.152769144663193,30.23803916498736,30.057919288907726,30.200194072540928,11877405.0
2017-08-04,31.67,31.91,31.58,31.8,16929451.0,0.0,1.0,30.038949317756636,30.266588971569757,29.95358444757671,30.16225413023874,16929451.0
2017-08-03,31.59,31.72,31.43,31.56,14420797.0,0.0,1.0,29.96306943315226,30.086374245634364,29.81130966394351,29.934614476425615,14420797.0
2017-08-02,31.57,31.57,31.25,31.52,15845636.0,0.0,1.0,29.944099462001166,29.944099462001166,29.64057992358367,29.89667453412343,15845636.0
2017-08-01,31.59,31.66,31.43,31.65,12962777.0,0.0,1.0,29.96306943315226,30.029464332181085,29.81130966394351,30.01997934660554,12962777.0
2017-07-31,31.54,31.59,31.37,31.45,19256428.0,0.0,1.0,29.915644505274525,29.96306943315226,29.75439975049023,29.830279635094602,19256428.0
2017-07-28,31.45,31.6,31.26,31.52,15770955.0,0.0,1.0,29.830279635094602,29.972554418727807,29.650064909159216,29.89667453412343,15770955.0
2017-07-27,31.73,31.7502,31.21,31.57,21437389.0,0.0,1.0,30.095859231209914,30.115018902072517,29.60263998128148,29.944099462001166,21437389.0
2017-07-26,32.12,32.225,31.51,31.66,21941467.0,0.0,1.0,30.465773668656237,30.56536601719948,29.887189548547887,30.029464332181085,21941467.0
2017-07-25,31.9,32.25,31.88,32.12,14989974.0,0.0,1.0,30.257103985994206,30.589078481138344,30.238134014843112,30.465773668656237,14989974.0
2017-07-24,31.86,31.925,31.66,31.86,15504103.0,0.0,1.0,30.21916404369202,30.280816449933077,30.029464332181085,30.21916404369202,15504103.0
2017-07-21,31.86,32.03,31.705,31.84,13973789.0,0.0,1.0,30.21916404369202,30.380408798476317,30.072146767271043,30.200194072540928,13973789.0
2017-07-20,31.91,32.05,31.76,31.86,16389480.0,0.0,1.0,30.266588971569757,30.399378769627408,30.124314187936555,30.21916404369202,16389480.0
